State,District,Season,forecast_T_Avg,forecast_R_Total,T_Avg_anomaly_z,R_Total_anomaly_z,Climate_Label,method_T_Avg,method_R_Total,history_years,status
Arunachal Pradesh,Namsai,Kharif,24.93,1722.07,1.598,-0.134,Hotter than normal,prophet,prophet,26,ok
Arunachal Pradesh,Namsai,Rabi,17.04,443.19,-0.397,0.506,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Namsai,Summer,22.224,1207.93,-0.655,0.442,Normal,prophet,prophet,27,ok
Arunachal Pradesh,Namsai,Whole Year,20.857,2605.96,0.077,0.273,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Namsai,Winter,15.4,109.99,-0.28,0.197,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Pakke Kessang,Autumn,23.934,677.61,0.214,-0.026,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Pakke Kessang,Kharif,26.187,1477.35,1.394,0.034,Hotter than normal,prophet,prophet,26,ok
Arunachal Pradesh,Pakke Kessang,Rabi,18.27,296.46,-0.184,0.756,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Pakke Kessang,Summer,23.888,966.63,0.272,0.245,Normal,prophet,prophet,27,ok
Arunachal Pradesh,Pakke Kessang,Whole Year,22.174,2035.44,0.282,-0.106,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Pakke Kessang,Winter,16.492,48.35,-0.193,-0.335,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Papum Pare,Autumn,20.247,959.31,0.385,0.37,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Papum Pare,Kharif,22.626,2068.68,1.523,0.388,Hotter than normal,prophet,prophet,26,ok
Arunachal Pradesh,Papum Pare,Rabi,13.742,403.06,-0.492,0.793,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Papum Pare,Summer,19.291,1322.07,0.431,0.438,Normal,prophet,prophet,27,ok
Arunachal Pradesh,Papum Pare,Whole Year,17.906,2819.59,-0.117,0.301,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Papum Pare,Winter,11.973,70.51,-0.514,-0.205,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Shi Yomi,Autumn,15.407,827.85,0.796,0.197,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Shi Yomi,Kharif,17.748,1733.01,1.444,-0.025,Hotter than normal,prophet,prophet,26,ok
Arunachal Pradesh,Shi Yomi,Rabi,8.564,357.98,-0.026,0.799,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Shi Yomi,Summer,13.486,1188.94,0.051,0.584,Normal,prophet,prophet,27,ok
Arunachal Pradesh,Shi Yomi,Whole Year,12.778,2373.83,0.701,0.179,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Shi Yomi,Winter,6.988,68.87,-0.064,0.048,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Siang,Autumn,19.07,926.07,0.927,0.031,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Siang,Kharif,21.379,2007.29,1.769,-0.005,Hotter than normal,prophet,prophet,26,ok
Arunachal Pradesh,Siang,Rabi,12.126,421.72,-0.251,0.653,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Siang,Summer,17.148,1232.43,-0.397,0.369,Normal,prophet,prophet,27,ok
Arunachal Pradesh,Siang,Whole Year,16.404,2667.0,0.55,0.007,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Siang,Winter,10.405,84.56,-0.315,0.024,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Tawang,Autumn,10.473,329.36,0.865,-0.112,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Tawang,Kharif,12.947,798.59,1.554,0.077,Hotter than normal,prophet,prophet,26,ok
Arunachal Pradesh,Tawang,Rabi,4.034,174.79,0.367,0.859,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Tawang,Summer,8.974,653.53,0.853,0.48,Normal,prophet,prophet,27,ok
Arunachal Pradesh,Tawang,Whole Year,8.189,1163.43,1.321,0.154,Hotter than normal,prophet,prophet,26,ok
Arunachal Pradesh,Tawang,Winter,2.604,20.7,0.211,-0.292,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Tirap,Autumn,23.037,761.91,0.783,0.308,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Tirap,Kharif,25.226,1595.55,1.501,0.292,Hotter than normal,prophet,prophet,26,ok
Arunachal Pradesh,Tirap,Rabi,17.17,374.79,-0.384,0.582,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Tirap,Summer,22.68,1084.17,-0.238,0.416,Normal,prophet,prophet,27,ok
Arunachal Pradesh,Tirap,Whole Year,21.011,2315.23,-0.13,0.375,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Tirap,Winter,15.435,86.74,-0.279,0.117,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Upper Siang,Autumn,19.07,926.07,0.927,0.031,Normal,prophet,prophet,26,ok
Arunachal Pradesh,Upper Siang,Kharif,21.379,2007.29,1.769,-0.005,Hotter than normal,prophet,prophet,26,ok
